TargetID	CHR	MAPINFO	Pval
cg22248750	2	38067017	0.274985801
cg11656478	2	38070616	0.779454946
cg14407177	2	38070880	0.286386869
cg02162897	2	38073394	3.15E-07
cg20408276	2	38073443	1.47E-06
cg00565882	2	38073564	0.007563132
cg06264984	2	38073742	0.409032061
cg20254225	2	38074295	0.598688993
cg09799983	2	38074613	0.838779833
cg01410359	2	38075087	0.499256608
cg03890222	2	38075344	0.888529203
cg16439198	2	38075531	0.798472327
cg07078841	2	38075996	0.599001707
cg25856383	2	38076077	0.792899593
cg14957547	2	38076244	0.713517924
cg01834566	2	38076300	0.664170952
cg07057636	2	38076362	0.078281421
cg07380506	2	38076364	0.132373635
cg01936270	2	38076538	0.853185783
cg06861880	2	38076652	0.735693391
cg23549225	2	38076655	0.600354517
cg22488859	2	38076689	0.958518524
cg08761102	2	38076702	0.861074526
cg26036993	2	38076757	0.178766036
cg07301433	2	38076857	0.100142623
cg09130556	2	38076888	0.568038557
cg03648789	2	38076895	0.90179354
cg09456297	2	38076924	0.714810481
cg16248783	2	38077004	0.270470395
cg08620474	2	38077375	0.812147326
cg12802310	2	38077578	0.082191502
cg21715189	2	38077660	0.178871005
cg09440493	2	38078713	0.236561126
cg23838231	2	38079470	0.709197067
cg19753864	2	38092886	0.017847897
cg06202585	2	38098660	0.546036057
cg02486145	2	38107036	0.000142377
