omicFeature1	omicFeature2	correlation	lowerCI	upperCI	pvalue	pvalue.adjusted
cg22248750	cg14407177	0.21537425720214	0.112947920040835	0.313271281352099	4.97501978351522e-05	0.000202959239237356
cg22248750	cg02162897	0.276191228986407	0.176323566120372	0.370430833120901	1.57551946156076e-07	1.17898422629153e-06
cg22248750	cg20408276	0.280725789377108	0.181082306347014	0.374664291512354	9.64981814455257e-08	7.47299870264187e-07
cg22248750	cg00565882	0.234589749742403	0.132882182234213	0.331408167544621	9.47899249470474e-06	4.47731134856267e-05
cg22248750	cg06264984	0.179383177833924	0.0758311130901328	0.279107215666234	0.000761344041312118	0.00241454824530414
cg22248750	cg09799983	-0.297945431704942	-0.390704921595877	-0.199195856462214	1.38264448779069e-08	1.26142634091589e-07
cg22248750	cg01410359	-0.271524552909791	-0.366069939932365	-0.171431048081618	2.58554036403069e-07	1.79371862754629e-06
cg22248750	cg03890222	-0.305514136096094	-0.397737626938534	-0.2071788730721	5.64662538948824e-09	5.69795834757449e-08
cg22248750	cg16439198	-0.203412423955848	-0.301944710358481	-0.100580147386495	0.000129975612960465	0.000489060780969884
cg22248750	cg25856383	-0.124427569268988	-0.226449679665179	-0.0197048718771285	0.0200611361317762	0.0418831243378148
cg22248750	cg26036993	-0.123881321721456	-0.225923263975188	-0.0191502818682021	0.0206175789403527	0.0426438123424685
cg22248750	cg03648789	-0.127018786963456	-0.228946009922838	-0.0223365416672022	0.0175957404410929	0.0380479322524931
cg22248750	cg09440493	0.189319801826471	0.0860499373225635	0.288564723442448	0.00037609883567935	0.00130459283626275
cg22248750	cg19753864	0.285285756630485	0.185872419396877	0.378917523383573	5.84175898765693e-08	4.74464815338965e-07
cg22248750	cg06202585	-0.120252939432862	-0.22242509905237	-0.0154681208799579	0.0246650153631469	0.0490355230801667
cg11656478	cg02162897	-0.286315016867334	-0.379877001492774	-0.186954281423517	5.2095652680606e-08	4.33696308566045e-07
cg11656478	cg20408276	-0.121975807020763	-0.224086463501614	-0.0172161699604683	0.0226648552089537	0.0458808315172132
cg11656478	cg06264984	0.154310556551442	0.0501427552763628	0.255157218603093	0.00385554908407393	0.0104381938617611
cg11656478	cg07078841	-0.237628410518441	-0.334269724367315	-0.136042059369609	7.19679429561637e-06	3.62531348755705e-05
cg11656478	cg12802310	0.234635482095219	0.132929723593947	0.331451247659559	9.44003532188376e-06	4.47731134856267e-05
