IlmnID	CHR	MAPINFO	p.value
cg00090147	8	11562367	9.05089846442033e-07
cg00115954	8	11536551	0.0371952610262914
cg00397986	8	11561593	7.92704567084877e-22
cg00468380	8	11549521	0.1614708223021
cg00595237	8	11560763	2.07633375868566e-16
cg00911881	8	11605722	0.00356557500495516
cg01098320	8	11557597	1.98114591750861e-05
cg01182865	8	11559334	0.213102332746925
cg01509065	8	11550554	0.000677059518794505
cg01546563	8	11567189	0.105854847101375
cg01605435	8	11539405	0.100302089979519
cg01644798	8	11617305	0.199914828392958
cg02119091	8	11553749	0.400133417143361
cg02146032	8	11559156	0.983080983041572
cg02726121	8	11561531	2.03191506347405e-08
cg03007522	8	11562685	2.64387754025638e-10
cg03024537	8	11557217	0.000105673564714742
cg03325664	8	11534225	0.258125640002127
cg03333634	8	11555251	2.13316578346066e-13
cg03506216	8	11550001	1.76836315279119e-05
cg03579045	8	11579013	0.856197217251116
cg03628820	8	11607557	0.296791502108745
cg03975306	8	11519192	0.409392279784958
cg04050824	8	11538245	1.82827770800171e-08
cg04167595	8	11555548	2.76217474050388e-07
cg04233840	8	11560621	0.0110545684379655
cg04446992	8	11550094	0.46453336768358
cg04880278	8	11597172	0.096841573805647
cg05237485	8	11555440	5.52309556940882e-06
cg05247305	8	11537762	0.0315882606073848
cg05412333	8	11560838	4.20929678046497e-09
cg06407417	8	11614568	0.314301221024092
cg06558050	8	11550572	0.449036921015797
cg06704518	8	11565530	8.46010694985442e-06
cg06707081	8	11560779	0.0366235249600372
cg06707765	8	11604273	0.663730443696923
cg06991484	8	11540407	0.0897662065473209
cg07556789	8	11538570	0.00842767598572037
cg08379586	8	11560451	0.237627542385802
cg09098624	8	11558334	0.0032754747015408
cg09130043	8	11561283	0.00325456468384565
cg09626984	8	11566096	7.02761475281419e-15
cg09951349	8	11561584	6.16006668162087e-09
cg10866709	8	11561361	0.505624136177755
cg11048722	8	11607693	0.0410332572827531
cg11123440	8	11619852	0.88963193177904
cg11320910	8	11538786	1.33053753614619e-08
cg11981599	8	11566526	3.14267648421801e-07
cg12117141	8	11558169	0.0375858392299749
cg12395012	8	11607386	0.689894678490698
cg12567615	8	11609706	0.757074006632812
cg12569013	8	11549572	0.443654347280785
cg12637676	8	11587161	0.231441569221463
cg12945444	8	11536969	0.000303129078379981
cg12984580	8	11549859	0.00208802559794173
cg13166213	8	11560563	8.67889436506575e-06
cg13293535	8	11597251	0.442953565501608
cg13434842	8	11567896	5.52382410625379e-09
cg13680188	8	11560486	0.821230301239014
cg14379719	8	11561508	2.93717062918661e-05
cg14487356	8	11565277	0.00166581886847603
cg14666113	8	11561724	1.16843786758726e-08
cg15644626	8	11616798	0.826557399035606
cg16015276	8	11550445	0.000186865610042373
cg16441259	8	11557906	1.62196622131586e-09
cg16782885	8	11541421	0.130809507640054
cg16795466	8	11560510	0.00542930412058836
cg16844941	8	11555178	1.18700789551336e-07
cg16871763	8	11537909	0.285383751082987
cg17583844	8	11519208	0.69840081353294
cg18119192	8	11567691	0.858261803150492
cg18127003	8	11614472	0.246483045860178
cg18283386	8	11561728	8.8123907072622e-08
cg19172575	8	11567721	0.484470627629928
cg19746780	8	11540602	2.55680210611558e-06
cg19971388	8	11559775	0.0114614939007197
cg20279283	8	11566863	6.16731659456623e-06
cg20463151	8	11546573	0.942978391582867
cg20908789	8	11551964	0.597109983234546
cg21069005	8	11537430	0.00668220304504709
cg21073927	8	11562155	0.000853973500994258
cg21227848	8	11559796	0.0416395665397724
cg22320962	8	11560299	8.43588232005078e-08
cg22799963	8	11536778	0.000895857554393968
cg23916205	8	11614368	0.50787187018862
cg23972785	8	11611189	0.543462551121144
cg24387126	8	11617293	0.401462943381579
cg24646414	8	11565725	0.0102936228643797
cg24738627	8	11563023	0.134876956403366
cg25216696	8	11565351	1.64417504916645e-08
cg25945788	8	11570318	0.654651149640941
cg26006870	8	11559039	0.00159260578822332
cg26020513	8	11568356	0.830591248605954
cg27030482	8	11539320	0.000561801933625684
cg27625887	8	11550841	0.465527986052126
