TargetID	CHR	MAPINFO	Pval
cg22248750	2	38294160	0.274985800637394
cg11656478	2	38297759	0.77945494627802
cg14407177	2	38298023	0.286386869038389
cg02162897	2	38300537	3.14820081109037e-07
cg20408276	2	38300586	1.4677385385226e-06
cg00565882	2	38300707	0.00756313176900884
cg06264984	2	38300885	0.409032061125302
cg20254225	2	38301438	0.598688993078459
cg09799983	2	38301756	0.838779832776086
cg01410359	2	38302230	0.499256608386193
cg03890222	2	38302487	0.888529202506425
cg16439198	2	38302674	0.79847232705925
cg07078841	2	38303138	0.599001707111066
cg25856383	2	38303219	0.792899592897289
cg14957547	2	38303386	0.713517923920752
cg01834566	2	38303442	0.664170951875363
cg07057636	2	38303504	0.0782814207516559
cg07380506	2	38303506	0.132373635076745
cg01936270	2	38303680	0.853185782515006
cg06861880	2	38303794	0.735693390924655
cg23549225	2	38303797	0.600354516536758
cg22488859	2	38303831	0.958518523618967
cg08761102	2	38303844	0.861074526167813
cg26036993	2	38303899	0.178766035515041
cg07301433	2	38303999	0.100142622802279
cg09130556	2	38304030	0.56803855720295
cg03648789	2	38304037	0.901793539992824
cg09456297	2	38304066	0.714810480815801
cg16248783	2	38304146	0.270470395009402
cg08620474	2	38304517	0.812147326437866
cg12802310	2	38304720	0.0821915022725622
cg21715189	2	38304802	0.178871005040022
cg09440493	2	38305855	0.236561125632567
cg23838231	2	38306612	0.709197066831103
cg19753864	2	38320028	0.0178478970039735
cg06202585	2	38325802	0.546036057269564
cg02486145	2	38334178	0.000142377209125043
